Параметр: fid,ID товара,ID варианта
10175___maytoni,277868501,486487406
FR4005PL-03B1___maytoni,277868511,486487424
FR2027TL-01N___maytoni,277868539,486487460
FR1007PL-05N___maytoni,277868552,486487483
TRA004HP-21W___maytoni,277868564,486487494
O413FL-01BZ1___maytoni,277868574,486487504
MOD317PL-04B___maytoni,277868579,486487513
10149___maytoni,277868598,486487536
10117___maytoni,277868603,486487542
MOD004WL-L5W3K___maytoni,277868609,486487547
MOD091PL-09G___maytoni,277868619,486487559
10164___maytoni,277868631,486487577
MOD312PL-12GCH___maytoni,277868636,486487582
FR5104PL-06BS___maytoni,277868660,486487616
2427___maytoni,277868677,486487645
MOD097PL-08CH___maytoni,277868682,486487654
CN003___maytoni,277868697,486487675
10114___maytoni,277868703,486487682
FR5050PL-05BS___maytoni,277868708,486487687
10125___maytoni,277868719,486487699
FR5050WL-01N___maytoni,277868724,486487703
MOD314WL-L8G3K___maytoni,277868737,486487728
ALM007S-2M___maytoni,277868751,486487741
FR1007PL-12BS___maytoni,277868754,486487744
10130___maytoni,277868762,486487757
10155___maytoni,277868768,486487769
MOD004WL-L5CE3K1___maytoni,277868772,486487773
MIR009WL-L12CH4K___maytoni,277868781,486487785
FR5053PL-06N___maytoni,277868799,486487819
CN007___maytoni,277868805,486487826
FR5127PL-08B___maytoni,277868814,486487836
MRC002B___maytoni,277868821,486487848
FR5036PL-05N___maytoni,277868829,486487856
FR5165PL-06S___maytoni,277868844,486487874
O419WL-02W___maytoni,277868856,486487892
Z012TL-L8B3K___maytoni,277868866,486487905
ALM003S-2M___maytoni,277868877,486487916
020214___maytoni,277868890,486487928
FR4005PL-03G___maytoni,277868896,486487935
MOD004PL-L5S3K___maytoni,277868913,486487957
CN002___maytoni,277868925,486487967
O576FL-01GR___maytoni,277868930,486487972
MOD048FL-03G___maytoni,277868963,486488006
O418FL-01B___maytoni,277868985,486488030
O419WL-01W___maytoni,277869001,486488051
10171___maytoni,277869013,486488065
10138___maytoni,277869017,486488070
MOD308PL-L9BL3K___maytoni,277869022,486488074
FR5167WL-01BS___maytoni,277869034,486488086
2429___maytoni,277869057,486488113
10133___maytoni,277869061,486488120
ALM008S-2M___maytoni,277869068,486488125
MOD007PL-10G___maytoni,277869076,486488141
FR4005PL-06G___maytoni,277869093,486488159
C002WL-L12CH4K___maytoni,277869106,486488176
MOD070PL-L36W3K___maytoni,277869116,486488188
MOD317PL-06B___maytoni,277869122,486488195
O415FL-L15GR3K___maytoni,277869134,486488209
MOD070PL-L18WK___maytoni,277869148,486488225
10112___maytoni,277869157,486488239
O417WL-L4B3K___maytoni,277869160,486488243
FR1006FL-01N___maytoni,277869169,486488265
FR1007WL-01N___maytoni,277869190,486488295
MOD317PL-04G___maytoni,277869204,486488315
MIR012WL-L9W4K___maytoni,277869226,486488340
MOD001PL-01CFL___maytoni,277869241,486488363
O418WL-01B___maytoni,277869252,486488375
10166___maytoni,277869262,486488384
MOD097PL-12CH___maytoni,277869267,486488390
MOD006FL-01B___maytoni,277869281,486488403
10129___maytoni,277869292,486488415
O417WL-L6W3K___maytoni,277869297,486488419
FR2027PL-05N___maytoni,277869320,486488444
MOD309WL-L4GR4K___maytoni,277869324,486488448
10124___maytoni,277869336,486488459
O576WL-01GR___maytoni,277869341,486488469
O419WL-01B___maytoni,277869370,486488507
FR5036WL-01N___maytoni,277869382,486488519
MOD308PL-L9GN3K___maytoni,277869401,486488541
MOD312PL-10GCH___maytoni,277869419,486488569
FR2028WL-01N___maytoni,277869436,486488593
MOD306WL-01C___maytoni,277869444,486488603
MOD091WL-01CH___maytoni,277869463,486488637
MIR010WL-L12W4K___maytoni,277869481,486488662
10128___maytoni,277869496,486488678
MOD555PL-L23CH5K___maytoni,277869501,486488683
ALM005S-2M___maytoni,277869523,486488711
MOD313WL-01CH___maytoni,277869533,486488726
FR6005LS-01G1___maytoni,277869556,486488756
MOD097WL-02CH___maytoni,277869565,486488762
10157___maytoni,277869582,486488787
MOD313PL-04G___maytoni,277869588,486488796
MOD027PL-01CH___maytoni,277869614,486488824
FR1007PL-08BS___maytoni,277869640,486488851
10103___maytoni,277869653,486488870
10161___maytoni,277869658,486488876
FR2028PL-01N___maytoni,277869663,486488884
MOD070PL-L63W3K___maytoni,277869669,486488890
MOD308WL-L9GR3K___maytoni,277869697,486488927
MIR011WL-L9B4K___maytoni,277869713,486488955
MOD320WL-L5BS3K___maytoni,277869737,486488980
CN015___maytoni,277869760,486489005
FR4005PL-06B2___maytoni,277869765,486489015
MOD091PL-07CH___maytoni,277869773,486489034
MOD004PL-L5CE3K___maytoni,277869791,486489052
10173___maytoni,277869804,486489064
MOD302WL-01GR___maytoni,277869814,486489075
MOD314WL-L13G3K___maytoni,277869843,486489104
10109___maytoni,277869868,486489133
FR6005LS-01B1___maytoni,277869876,486489141
CN005___maytoni,277869884,486489149
ALM004S-2M___maytoni,277869888,486489153
10107___maytoni,277869898,486489163
020207___maytoni,277869905,486489175
FR5115PL-08BZ___maytoni,277869913,486489183
MOD306WL-01G___maytoni,277869937,486489207
10121___maytoni,277869953,486489227
10116___maytoni,277869957,486489232
2425___maytoni,277869962,486489238
MD001___maytoni,277869967,486489242
MIR014WL-L9G3K___maytoni,277869976,486489251
10169___maytoni,277869993,486489276
10151___maytoni,277870000,486489282
O414FL-03GB___maytoni,277870004,486489295
MOD223WL-02BS___maytoni,277870012,486489311
Z005TL-01BS___maytoni,277870028,486489326
FR5127WL-02B___maytoni,277870052,486489367
O413WL-01GB1___maytoni,277870061,486489378
MOD313PL-06CH___maytoni,277870076,486489399
FR5127PL-06B___maytoni,277870094,486489419
MOD313PL-01G___maytoni,277870101,486489431
FR1007PL-07N___maytoni,277870115,486489446
10150___maytoni,277870122,486489454
FR5098WL-01BBS___maytoni,277870126,486489458
O413WL-01GB___maytoni,277870136,486489471
Z014TL-01G___maytoni,277870155,486489492
10162___maytoni,277870168,486489508
10108___maytoni,277870172,486489512
FR1006WL-02N___maytoni,277870177,486489517
MOD001PL-01BS___maytoni,277870192,486489532
O414PL-01BZ___maytoni,277870205,486489550
10182___maytoni,277870210,486489554
10102___maytoni,277870213,486489557
MOD315CL-L25CH3K___maytoni,277870218,486489562
MOD048TL-01G___maytoni,277870228,486489582
O417WL-L4W3K___maytoni,277870235,486489590
MOD004WL-L5S3K1___maytoni,277870248,486489604
CLM001___maytoni,277870255,486489611
FR1007PL-05BS___maytoni,277870260,486489616
O418FL-01B1___maytoni,277870268,486489624
Z012FL-L18B3K___maytoni,277870277,486489637
P054PL-01B2___maytoni,277870299,486489660
10183___maytoni,277870324,486489686
O414FL-03BZ___maytoni,277870328,486489689
MOD091PL-07G___maytoni,277870358,486489742
MOD099PL-03G___maytoni,277870372,486489775
MOD308PL-L9CG3K___maytoni,277870388,486489805
MOD004WL-L5S3K___maytoni,277870398,486489822
CLM002___maytoni,277870420,486489866
MOD223PL-06BS___maytoni,277870426,486489880
MOD320WL-L13MR3K___maytoni,277870458,486489929
ALM011S-2M___maytoni,277870475,486489960
MOD315CL-L25G3K___maytoni,277870479,486489965
O413WL-01BZ1___maytoni,277870489,486489974
FR4005PL-04B___maytoni,277870505,486490000
MIR012WL-L14W4K___maytoni,277870512,486490013
FR5050PL-05N___maytoni,277870522,486490031
CN011___maytoni,277870535,486490044
FR5115PL-06BZ1___maytoni,277870538,486490051
MIR011WL-L9W4K___maytoni,277870552,486490072
O414FL-01BZ1___maytoni,277870569,486490102
020217___maytoni,277870576,486490110
MOD315PL-L20G3K___maytoni,277870582,486490127
10167___maytoni,277870591,486490147
DIA200PL-08G___maytoni,277870594,486490151
MOD070PL-L18B3K___maytoni,277870613,486490176
CN006___maytoni,277870627,486490197
020201___maytoni,277870631,486490201
MIR012WL-L9B4K___maytoni,277870635,486490205
FR2028TL-01N___maytoni,277870644,486490214
MIR008WL-L12W4K___maytoni,277870647,486490217
O414FL-01BZ___maytoni,277870656,486490248
10170___maytoni,277870660,486490261
020211___maytoni,277870666,486490265
10176___maytoni,277870669,486490269
MOD007PL-08G___maytoni,277870674,486490274
MOD305WL-01G___maytoni,277870686,486490293
O416FL-L3GR3K___maytoni,277870700,486490323
MOD027PL-01BS___maytoni,277870729,486490354
10159___maytoni,277870747,486490391
MOD320WL-L10BS3K___maytoni,277870752,486490396
TRX004DR2-100S___maytoni,277870792,486490443
10118___maytoni,277870801,486490467
FR1007TL-01BS___maytoni,277870808,486490489
O413FL-01GB1___maytoni,277870822,486490504
O417WL-L6B3K___maytoni,277870835,486490521
FR1007PL-08N___maytoni,277870849,486490535
O414FL-01GB1___maytoni,277870860,486490551
FR1007WL-01BS___maytoni,277870880,486490571
10120___maytoni,277870889,486490586
MOD223PL-03BS___maytoni,277870894,486490591
MOD320WL-L6BS3K___maytoni,277870932,486490638
MOD320WL-L12BS3K___maytoni,277870990,486490725
020212___maytoni,277871049,486490819
TRA004C-21W___maytoni,277871062,486490836
ALM002S-2M___maytoni,277871080,486490854
10135___maytoni,277871098,486490876
10163___maytoni,277871107,486490886
10158___maytoni,277871117,486490896
10156___maytoni,277871127,486490906
MOD302PL-01W___maytoni,277871137,486490916
10185___maytoni,277871162,486490953
MOD302WL-01W___maytoni,277871169,486490961
O414PL-01GB___maytoni,277871213,486491005
10168___maytoni,277871230,486491025
FR6005LS-01G___maytoni,277871237,486491032
FR4005PL-06G1___maytoni,277871248,486491044
O416FL-L3B3K___maytoni,277871269,486491064
MOD043FL-08G___maytoni,277871304,486491117
FR5098PL-05BBS___maytoni,277871340,486491162
MD002___maytoni,277871356,486491179
MOD301TL-L18CH3K___maytoni,277871372,486491197
10179___maytoni,277871408,486491238
FR1007FL-01N___maytoni,277871416,486491247
O414WL-01GB___maytoni,277871433,486491269
DIA200WL-02G___maytoni,277871448,486491285
10106___maytoni,277871491,486491340
FR5165PL-10W___maytoni,277871501,486491351
MOD305WL-01CH___maytoni,277871532,486491389
FR1006PL-06N___maytoni,277871568,486491430
P011WL-02CH___maytoni,277871583,486491445
MOD094CL-04CH___maytoni,277871614,486491485
MOD094CL-04G___maytoni,277871656,486491528
MOD094WL-01CH___maytoni,277871698,486491585
MOD094CL-06G___maytoni,277871730,486491625
MOD094CL-06CH___maytoni,277871769,486491690
P011WL-02C___maytoni,277871806,486491730
P011WL-02G___maytoni,277871832,486491757
MOD094WL-01G___maytoni,277871857,486491787
MOD135PL-08BS___maytoni,277871894,486491823
MOD135PL-06BS___maytoni,277871910,486491847
MOD135WL-01BS___maytoni,277871915,486491853
MOD136PL-06BS___maytoni,277871918,486491859
MOD133CL-04BS___maytoni,277871931,486491872
MOD136WL-01BS___maytoni,277871947,486491887
MOD133CL-04CH___maytoni,277871950,486491890
MOD130CL-14G___maytoni,277871953,486491893
MOD130CL-11G___maytoni,277871970,486491915
MOD133PL-08BS___maytoni,277871979,486491925
MOD133PL-08CH___maytoni,277871982,486491928
MOD130WL-02G___maytoni,277871986,486491930
