Группа параметра,1 уровень,2 уровень,,id старый,id новый,Название,Maytoni,Ledron,LIGHTSTAR,MANTRA,SWG,Elevel,Isonex,,,Настройки-Параметры товаров-Отображать в навигации,Настройки-Параметры товаров-Не отображать в карточке товара,Настройки-Параметры товаров-Автоматическая сортировка
Основные,1,,,,120,Перфорированный растр/решетка,,,,,,Перфорированный растр/решетка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,121,Перфорированный отражатель,,,,,,Перфорированный отражатель,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,122,Перекрестный диммер,,,,,,Перекрестный диммер,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,123,Охлаждение,,,,,,Охлаждение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,124,Отключение защиты,,,,,,Отключение защиты,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,125,Отдельный кабельный ввод с разгрузкой провода от натяжения,,,,,,Отдельный кабельный ввод с разгрузкой провода от натяжения,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,126,Отделка поверхности,,,,,,Отделка поверхности,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,127,Обогрев,,,,,,Обогрев,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,128,Направление выхода,,,,,,Направление выхода,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,129,Назначение/применение,,,,,,Назначение/применение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,130,Надпись/маркировка,,,,,,Надпись/маркировка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,131,Модель/исполнение,,,,,,Модель/исполнение,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,132,Модель с плоской поверхностью,,,,,,Модель с плоской поверхностью,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,133,Механическое управление,,,,,,Механическое управление,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,134,Механическое кодирование,,,,,,Механическое кодирование,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,135,Местное управление / ручное управление,,,,,,Местное управление / ручное управление,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,136,макс. Контактная нагрузка,,,,,,макс. Контактная нагрузка,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,137,Макс. количество жалюзийных выходов,,,,,,Макс. количество жалюзийных выходов,,,,Не отображать в общем фильтре,,Автоматическая сортировка
Основные,1,,,,138,Корпус,,,,,,Корпус,,,,Не отображать в общем фильтре,,Автоматическая сортировка
